40920	8.326976	0.953952	3
14488	7.153469	1.673904	2
26052	1.441871	0.805124	1
75136	13.147394	0.428964	1
38344	1.669788	0.134296	1
72993	10.141740	1.032955	1
35948	6.830792	1.213192	3
42666	13.276369	0.543880	3
67497	8.631577	0.749278	1
35483	12.273169	1.508053	3
50242	3.723498	0.831917	1
63275	8.385879	1.669485	1
55635	5.999455	1.197170	1
32246	11.143204	0.127725	2
73365	9.689216	0.327983	1
47317	11.383503	1.342433	2
46707	8.466872	1.314743	2
40466	7.669783	1.102619	2
51318	10.812813	1.393855	2
52063	6.117015	0.882421	1
